"null","Sourced","Placed","References","Value","Footprint","Quantity"
1,"","","C41, C42, C43, C44, C45, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C67, C75, C76, C77, C78","1uF","C_0402_1005Metric",22
2,"","","C1, C2, C3, C4, C6, C7, C9, C10, C12, C13, C39, C59, C61, C62, C64, C65, C66, C69, C71, C74","0.1uF","C_0402_1005Metric",20
3,"","","C46, C60, C63, C68, C70","10uF","C_0402_1005Metric",5
4,"","","C5, C8, C11, C14","10nF","C_0402_1005Metric",4
5,"","","C73, C82","100uF","CP_EIA-3528-21_Kemet-B",2
6,"","","C103","10u","C_0603_1608Metric",1
7,"","","R1, R2, R5, R6, R7, R8, R9, R17, R23, R24, R34, R37, R38, R39, R40, R41, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63",0,"R_0402_1005Metric",26
8,"","","R3, R4, R12, R13, R14, R15, R19, R20, R21, R22, R33","NC","R_0402_1005Metric",11
9,"","","R10, R11, R16, R18","2.2K 1%","R_0402_1005Metric",4
10,"","","R43, R45, R51, R53",0,"R_0603_1608Metric",4
11,"","","R46, R47, R48, R49","1k","R_0603_1608Metric",4
12,"","","R28, R29, R30",10,"R_0603_1608Metric",3
13,"","","R25, R32","NC","R_0603_1608Metric",2
14,"","","R26, R31","10k","R_0402_1005Metric",2
15,"","","R35, R36","15K 1%","R_0402_1005Metric",2
16,"","","R27",10,"R_0402_1005Metric",1
17,"","","U3, U5, U6, U7","TPD4EUSB30","USON-10_2.5x1.0mm_P0.5mm",4
18,"","","U4, U19, U21, U23","SPU0414HR5H-SB","SPU0414HR5H-SB",4
19,"","","U8, U20, U22, U24","MIC_MODULE_4PIN","MIC_MODULE_4PIN",4
20,"","","U11, U12, U13, U14","TCR3RM33","TCR3RM33",4
21,"","","U15, U16, U17, U18","MIC_4PIN_SMD","MIC_4PIN_SMD",4
22,"","","U1","RT9742SNGV","SOT-23",1
23,"","","U2","ISO1540","SOIC-8_3.9x4.9mm_P1.27mm",1
24,"","","U9","SI8663BB-B-IS1","SI8663BB-B-IS1",1
25,"","","U10","ac108","AC108",1
26,"","","X1","ASE-24.000MHz","Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm",1
27,"","",", , , ","","",4
28,"","","PS1, PS2","R05CTE05S-R","SOIC127P1030X265-16N",2
29,"","","CM4_MODULE1","ComputeModule4-CM4","Raspberry-Pi-4-Compute-Module",1
30,"","","J4, J5",1054500101,"MOLEX_105450-0101",2
31,"","","J6, J7","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",2
32,"","","J8, J9","Conn_01x10","PinSocket_1x10_P2.54mm_Vertical",2
33,"","","J1","HDMI",685119134923,1
34,"","","J2","JK00177","RJ45_Pulse_JK00177NL_Horizontal",1
